crop_type,district,rainfall,temperature,humidity,soil_type,soil_ph,water_availability,area,fertilizer,pesticide,production,yield
Moong(Green Gram),Warangal,870,30,60,Black,6.7,Medium,110951.0,16031309.99,29956.77,73489,0.656666667
Moong(Green Gram),Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,12516.0,1808436.84,3379.32,11549,0.9325
Onion,Adilabad,920,28,70,Black,6.7,Medium,3984.0,575648.16,1075.68,74919,18.82666667
Onion,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,10794.0,1559625.06,2914.38,359826,31.81375
Other  Rabi Pulses,Hanumakonda,860,30,60,Black,6.7,Medium,467.0,67476.83,126.09,660,1.315
Other Kharif Pulses,Hyderabad,700,32,55,Sandy,6.3,Low,346.0,49993.54,93.42,109,0.37
Potato,Jagtial,850,30,60,Black,6.7,Medium,3512.0,507448.88,948.24,47411,14.71
Ragi,Jangaon,800,30,60,Loamy,6.4,Medium,1204.0,173965.96,325.08,1727,1.593333333
Ragi,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,511.0,73834.39,137.97,794,1.55
Rapeseed &Mustard,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,843.0,121805.07,227.61,644,0.834
Rice,Kamareddy,840,30,60,Loamy,6.4,Medium,1166334.0,168523599.7,314910.18,3768045,3.115555556
Rice,Karimnagar,830,30,60,Black,6.7,Medium,828103.0,119652602.5,223587.81,2813045,3.203333333
Safflower,Khammam,1000,30,60,Clay,6.5,High,7867.0,1136702.83,2124.09,5573,0.75
Sesamum,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,5713.0,825471.37,1542.51,1300,0.242857143
Sesamum,Mahabubabad,900,30,60,Clay,6.5,Medium,18484.0,2670753.16,4990.68,7410,0.392857143
Small Millets,Mahabubnagar,730,32,55,Loamy,6.4,Low,882.0,127440.18,238.14,665,0.75
Soyabean,Mancherial,890,30,60,Black,6.7,Medium,242438.0,35029866.62,65458.26,390305,1.6
Soyabean,Medak,780,30,60,Black,6.7,Low,14.0,2022.86,3.78,23,1.65
Sugarcane,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,39309.0,5679757.41,10613.43,3376625,83.91888889
Sunflower,Mulugu,1150,28,70,Clay,6.5,High,2040.0,294759.6,550.8,1750,0.846666667
Sunflower,Nagarkurnool,760,30,60,Loamy,6.4,Low,17580.0,2540134.2,4746.6,16867,1.084444444
Sweet Potato,Nalgonda,770,32,55,Clay,6.5,Low,109.0,15749.41,29.43,742,7.57
Tobacco,Narayanpet,700,32,55,Sandy,6.3,Low,2218.0,320478.82,598.86,3889,3.106666667
Tobacco,Nirmal,910,28,70,Black,6.7,Medium,3839.0,554697.11,1036.53,9718,2.968333333
Turmeric,Nizamabad,880,30,60,Loamy,6.4,Medium,49638.0,7172194.62,13402.26,252061,4.785555556
Urad,Peddapalli,820,30,60,Black,6.7,Medium,32090.0,4636684.1,8664.3,26377,0.83125
Urad,Rajanna Sircilla,810,30,60,Black,6.7,Medium,9473.0,1368753.77,2557.71,9028,0.912857143
Wheat,Rangareddy,720,30,60,Sandy,6.3,Low,7039.0,1017065.11,1900.53,4366,0.74
Other Oilseeds,Sangareddy,760,30,60,Black,6.7,Low,3645.0,526666.05,984.15,45575,8.973333333
Arhar/Tur,Siddipet,790,30,60,Loamy,6.4,Low,219791.0,33179649.36,72531.03,108665,0.497777778
Arhar/Tur,Suryapet,750,30,60,Clay,6.5,Low,878.0,132542.88,289.74,614,0.528571429
Bajra,Vikarabad,800,30,60,Loamy,6.4,Medium,1975.0,298146.0,651.75,1851,0.848
Bajra,Wanaparthy,730,30,60,Loamy,6.4,Low,9243.0,1395323.28,3050.19,8659,0.923333333
Banana,Warangal,870,30,60,Black,6.7,Medium,1707.0,257688.72,563.31,71988,42.26375
Cashewnut,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,4089.0,617275.44,1349.37,2290,0.57
Castor Seed,Adilabad,920,28,70,Black,6.7,Medium,49717.0,7505278.32,16406.61,28724,0.474285714
Castor Seed,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,1000.0,150960.0,330.0,576,0.5025
Coconut,Hanumakonda,860,30,60,Black,6.7,Medium,439.0,66271.44,144.87,9265095,21105.0
Coriander,Hyderabad,700,32,55,Sandy,6.3,Low,1597.0,241083.12,527.01,382,0.241428571
Cotton(Lint),Jagtial,850,30,60,Black,6.7,Medium,1662925.0,251035158.0,548765.25,3583327,2.068888889
Cowpea(Lobia),Jangaon,800,30,60,Loamy,6.4,Medium,1642.0,247876.32,541.86,1511,0.94
Cowpea(Lobia),Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,8538.0,1288896.48,2817.54,8385,0.97
Dry Chillies,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,55485.0,8376015.6,18310.05,180323,2.612222222
Dry Chillies,Kamareddy,840,30,60,Loamy,6.4,Medium,17789.0,2685427.44,5870.37,72937,4.2025
Ginger,Karimnagar,830,30,60,Black,6.7,Medium,2186.0,329998.56,721.38,16540,7.78
Gram,Khammam,1000,30,60,Clay,6.5,High,59337.0,8957513.52,19581.21,81277,1.283333333
Groundnut,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,12402.0,1872205.92,4092.66,21533,1.36125
Groundnut,Mahabubabad,900,30,60,Clay,6.5,Medium,142396.0,21496100.16,46990.68,273702,1.85
Horse-Gram,Mahabubnagar,730,32,55,Loamy,6.4,Low,529.0,79857.84,174.57,274,0.51
Horse-Gram,Mancherial,890,30,60,Black,6.7,Medium,1778.0,268406.88,586.74,679,0.39375
Jowar,Medak,780,30,60,Black,6.7,Low,42616.0,6433311.36,14063.28,46996,0.885555556
Jowar,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,36385.0,5492679.6,12007.05,36271,0.974444444
Linseed,Mulugu,1150,28,70,Clay,6.5,High,45.0,6793.2,14.85,18,0.4
Maize,Nagarkurnool,760,30,60,Loamy,6.4,Low,521865.0,78780740.4,172215.45,1408615,2.935555556
Maize,Nalgonda,770,32,55,Clay,6.5,Low,169606.0,25603721.76,55969.98,899436,4.993333333
Masoor,Narayanpet,700,32,55,Sandy,6.3,Low,54.0,8151.84,17.82,21,0.39
Mesta,Nirmal,910,28,70,Black,6.7,Medium,7.0,1056.72,2.31,50,7.14
Mesta,Nizamabad,880,30,60,Loamy,6.4,Medium,170.0,25663.2,56.1,1205,7.09
Moong(Green Gram),Peddapalli,820,30,60,Black,6.7,Medium,69848.0,10544254.08,23049.84,34548,0.47
Moong(Green Gram),Rajanna Sircilla,810,30,60,Black,6.7,Medium,17504.0,2642403.84,5776.32,10306,0.59625
Onion,Rangareddy,720,30,60,Sandy,6.3,Low,5552.0,838129.92,1832.16,86305,15.05142857
Onion,Sangareddy,760,30,60,Black,6.7,Low,8367.0,1263082.32,2761.11,228542,26.84555556
Other  Rabi Pulses,Siddipet,790,30,60,Loamy,6.4,Low,107.0,16152.72,35.31,141,1.11
Other Kharif Pulses,Suryapet,750,30,60,Clay,6.5,Low,146.0,22040.16,48.18,75,0.603333333
Potato,Vikarabad,800,30,60,Loamy,6.4,Medium,9.0,1358.64,2.97,173,19.22
Potato,Wanaparthy,730,30,60,Loamy,6.4,Low,3037.0,458465.52,1002.21,41069,14.92
Ragi,Warangal,870,30,60,Black,6.7,Medium,1196.0,180548.16,394.68,1333,1.38
Ragi,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,331.0,49967.76,109.23,415,1.2675
Rapeseed &Mustard,Adilabad,920,28,70,Black,6.7,Medium,2254.0,340263.84,743.82,3962,1.62
Rice,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,920307.0,138929544.7,303701.31,2854873,2.958888889
Rice,Hanumakonda,860,30,60,Black,6.7,Medium,495113.0,74742258.48,163387.29,1690109,3.332222222
Safflower,Hyderabad,700,32,55,Sandy,6.3,Low,4155.0,627238.8,1371.15,3100,0.752
Sesamum,Jagtial,850,30,60,Black,6.7,Medium,5480.0,827260.8,1808.4,1087,0.20125
Sesamum,Jangaon,800,30,60,Loamy,6.4,Medium,18324.0,2766191.04,6046.92,8565,0.421428571
Small Millets,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,134.0,20228.64,44.22,85,0.63
Soyabean,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,242517.0,36610366.32,80030.61,262188,1.067142857
Soyabean,Kamareddy,840,30,60,Loamy,6.4,Medium,122.0,18417.12,40.26,165,1.185
Sugarcane,Karimnagar,830,30,60,Black,6.7,Medium,38139.0,5757463.44,12585.87,3343035,83.8575
Sunflower,Khammam,1000,30,60,Clay,6.5,High,1369.0,206664.24,451.77,1395,1.013333333
Sunflower,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,17002.0,2566621.92,5610.66,24272,1.321111111
Sweet Potato,Mahabubabad,900,30,60,Clay,6.5,Medium,7.0,1056.72,2.31,55,7.9
Sweet Potato,Mahabubnagar,730,32,55,Loamy,6.4,Low,96.0,14492.16,31.68,744,7.745
Tobacco,Mancherial,890,30,60,Black,6.7,Medium,1534.0,231572.64,506.22,3466,3.016666667
Tobacco,Medak,780,30,60,Black,6.7,Low,4551.0,687018.96,1501.83,12509,2.82125
Turmeric,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,43470.0,6562231.2,14345.1,216236,4.693333333
Urad,Mulugu,1150,28,70,Clay,6.5,High,19851.0,2996706.96,6550.83,13022,0.66875
Urad,Nagarkurnool,760,30,60,Loamy,6.4,Low,8164.0,1232437.44,2694.12,3316,0.41
Wheat,Nalgonda,770,32,55,Clay,6.5,Low,5828.0,879794.88,1923.24,6929,1.156
Other Oilseeds,Narayanpet,700,32,55,Sandy,6.3,Low,3475.0,524586.0,1146.75,92269,13.84
Arhar/Tur,Nirmal,910,28,70,Black,6.7,Medium,247514.0,39084935.74,81679.62,103903,0.496666667
Arhar/Tur,Nizamabad,880,30,60,Loamy,6.4,Medium,1415.0,223442.65,466.95,937,0.5225
Bajra,Peddapalli,820,30,60,Black,6.7,Medium,1632.0,257709.12,538.56,1531,0.882
Bajra,Rajanna Sircilla,810,30,60,Black,6.7,Medium,4268.0,673959.88,1408.44,4003,0.864
Banana,Rangareddy,720,30,60,Sandy,6.3,Low,1756.0,277289.96,579.48,84008,48.41333333
Cashewnut,Sangareddy,760,30,60,Black,6.7,Low,3036.0,479414.76,1001.88,2146,0.71
Castor Seed,Siddipet,790,30,60,Loamy,6.4,Low,47373.0,7480670.43,15633.09,16948,0.34875
Castor Seed,Suryapet,750,30,60,Clay,6.5,Low,601.0,94903.91,198.33,213,0.338
Coriander,Vikarabad,800,30,60,Loamy,6.4,Medium,11.0,1737.01,3.63,8,0.73
Coriander,Wanaparthy,730,30,60,Loamy,6.4,Low,998.0,157594.18,329.34,382,0.402857143
Cotton(Lint),Warangal,870,30,60,Black,6.7,Medium,1773256.0,280014855.0,585174.48,3733072,1.973333333
Cowpea(Lobia),Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,2167.0,342190.97,715.11,1135,0.511666667
Cowpea(Lobia),Adilabad,920,28,70,Black,6.7,Medium,6021.0,950776.11,1986.93,16132,2.523333333
Dry Chillies,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,65188.0,10293837.08,21512.04,182753,2.255555556
Dry Chillies,Hanumakonda,860,30,60,Black,6.7,Medium,16409.0,2591145.19,5414.97,44857,2.717777778
Garlic,Hyderabad,700,32,55,Sandy,6.3,Low,285.0,45004.35,94.05,1009,3.5225
Ginger,Jagtial,850,30,60,Black,6.7,Medium,1822.0,287712.02,601.26,11862,5.5225
Ginger,Jangaon,800,30,60,Loamy,6.4,Medium,6.0,947.46,1.98,39,6.5
Gram,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,69846.0,11029381.86,23049.18,50357,0.917777778
Groundnut,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,13470.0,2127047.7,4445.1,21503,1.348333333
Groundnut,Kamareddy,840,30,60,Loamy,6.4,Medium,114331.0,18054008.21,37729.23,184409,1.725555556
Horse-Gram,Karimnagar,830,30,60,Black,6.7,Medium,510.0,80534.1,168.3,110,0.22
Horse-Gram,Khammam,1000,30,60,Clay,6.5,High,1530.0,241602.3,504.9,684,0.418888889
Jowar,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,45161.0,7131373.51,14903.13,50527,0.96
Jowar,Mahabubabad,900,30,60,Clay,6.5,Medium,31197.0,4926318.27,10295.01,25176,0.867777778
Linseed,Mahabubnagar,730,32,55,Loamy,6.4,Low,7.0,1105.37,2.31,3,0.43
Maize,Mancherial,890,30,60,Black,6.7,Medium,454308.0,71739776.28,149921.64,1161260,2.983333333
Maize,Medak,780,30,60,Black,6.7,Low,118486.0,18710124.26,39100.38,589814,4.658888889
Masoor,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,46.0,7263.86,15.18,16,0.35
Moong(Green Gram),Mulugu,1150,28,70,Clay,6.5,High,411094.0,64915853.54,135661.02,421667,1.773333333
Moong(Green Gram),Nagarkurnool,760,30,60,Loamy,6.4,Low,152891.0,24143017.81,50454.03,213712,1.04
Onion,Nalgonda,770,32,55,Clay,6.5,Low,5269.0,832027.79,1738.77,74452,13.5075
Onion,Narayanpet,700,32,55,Sandy,6.3,Low,10462.0,1652054.42,3452.46,315376,28.95888889
Other  Rabi Pulses,Nirmal,910,28,70,Black,6.7,Medium,54.0,8527.14,17.82,21,0.305
Other Kharif Pulses,Nizamabad,880,30,60,Loamy,6.4,Medium,100.0,15791.0,33.0,37,0.343333333
Potato,Peddapalli,820,30,60,Black,6.7,Medium,2220.0,350560.2,732.6,28466,13.8
Ragi,Rajanna Sircilla,810,30,60,Black,6.7,Medium,742.0,117169.22,244.86,404,0.666666667
Ragi,Rangareddy,720,30,60,Sandy,6.3,Low,178.0,28107.98,58.74,110,0.663333333
Rapeseed &Mustard,Sangareddy,760,30,60,Black,6.7,Low,1365.0,215547.15,450.45,1665,1.023333333
Rice,Siddipet,790,30,60,Loamy,6.4,Low,748713.0,118229269.8,247075.29,2197030,2.822222222
Rice,Suryapet,750,30,60,Clay,6.5,Low,297475.0,46974277.25,98166.75,850259,2.785555556
Safflower,Vikarabad,800,30,60,Loamy,6.4,Medium,3855.0,608743.05,1272.15,2581,0.806
Sesamum,Wanaparthy,730,30,60,Loamy,6.4,Low,4012.0,633534.92,1323.96,148,0.068571429
Sesamum,Warangal,870,30,60,Black,6.7,Medium,9865.0,1557782.15,3255.45,2770,0.242857143
Small Millets,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,1246.0,196755.86,411.18,993,0.8
Small Millets,Adilabad,920,28,70,Black,6.7,Medium,64.0,10106.24,21.12,51,0.8
Soyabean,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,242802.0,38340863.82,80124.66,251597,1.063333333
Soyabean,Hanumakonda,860,30,60,Black,6.7,Medium,394.0,62216.54,130.02,420,1.055
Sugarcane,Hyderabad,700,32,55,Sandy,6.3,Low,34895.0,5510269.45,11515.35,2404655,70.39333333
Sunflower,Jagtial,850,30,60,Black,6.7,Medium,910.0,143698.1,300.3,828,0.91
Sunflower,Jangaon,800,30,60,Loamy,6.4,Medium,10637.0,1679688.67,3510.21,12502,1.076666667
Sweet Potato,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,87.0,13738.17,28.71,1230,13.3925
Tobacco,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,1512.0,238759.92,498.96,3702,3.676666667
Tobacco,Kamareddy,840,30,60,Loamy,6.4,Medium,4279.0,675696.89,1412.07,11455,3.42625
Turmeric,Karimnagar,830,30,60,Black,6.7,Medium,42535.0,6716701.85,14036.55,184285,4.352222222
Urad,Khammam,1000,30,60,Clay,6.5,High,23955.0,3782734.05,7905.15,11111,0.485
Urad,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,8126.0,1283176.66,2681.58,6400,0.77
Wheat,Mahabubabad,900,30,60,Clay,6.5,Medium,4952.0,781970.32,1634.16,16902,2.9475
Other Oilseeds,Mahabubnagar,730,32,55,Loamy,6.4,Low,3894.0,614901.54,1285.02,83261,21.38
Arhar/Tur,Mancherial,890,30,60,Black,6.7,Medium,386156.0,59178407.0,135154.6,261118,0.711
Arhar/Tur,Medak,780,30,60,Black,6.7,Low,1289.0,197539.25,451.15,1118,0.728235294
Bajra,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,3134.0,480285.5,1096.9,2723,0.89
Bajra,Mulugu,1150,28,70,Clay,6.5,High,13563.0,2078529.75,4747.05,11791,0.87875
Banana,Nagarkurnool,760,30,60,Loamy,6.4,Low,1579.0,241981.75,552.65,72995,45.93
Cashewnut,Nalgonda,770,32,55,Clay,6.5,Low,1841.0,282133.25,644.35,773,0.395
Castor Seed,Narayanpet,700,32,55,Sandy,6.3,Low,44442.0,6810736.5,15554.7,26207,0.538333333
Castor Seed,Nirmal,910,28,70,Black,6.7,Medium,466.0,71414.5,163.1,272,0.521666667
Coriander,Nizamabad,880,30,60,Loamy,6.4,Medium,46.0,7049.5,16.1,20,0.575
Coriander,Peddapalli,820,30,60,Black,6.7,Medium,1899.0,291021.75,664.65,1212,0.627
Cotton(Lint),Rajanna Sircilla,810,30,60,Black,6.7,Medium,1408760.0,215892470.0,493066.0,3444408,2.445666667
Cowpea(Lobia),Rangareddy,720,30,60,Sandy,6.3,Low,1058.0,162138.5,370.3,647,0.55
Cowpea(Lobia),Sangareddy,760,30,60,Black,6.7,Low,4900.0,750925.0,1715.0,5230,1.1
Dry Chillies,Siddipet,790,30,60,Loamy,6.4,Low,109671.0,16807080.75,38384.85,401648,3.338666667
Dry Chillies,Suryapet,750,30,60,Clay,6.5,Low,14653.0,2245572.25,5128.55,81224,5.504347826
Garlic,Vikarabad,800,30,60,Loamy,6.4,Medium,191.0,29270.75,66.85,451,2.74
Ginger,Wanaparthy,730,30,60,Loamy,6.4,Low,1978.0,303128.5,692.3,13817,6.998
Ginger,Warangal,870,30,60,Black,6.7,Medium,39.0,5976.75,13.65,272,6.985
Gram,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,101431.0,15544300.75,35500.85,131781,1.324827586
Groundnut,Adilabad,920,28,70,Black,6.7,Medium,26674.0,4087790.5,9335.9,51597,2.272380952
Groundnut,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,140417.0,21518905.25,49145.95,290379,1.996896552
Horse-Gram,Hanumakonda,860,30,60,Black,6.7,Medium,353.0,54097.25,123.55,135,0.395714286
Horse-Gram,Hyderabad,700,32,55,Sandy,6.3,Low,1310.0,200757.5,458.5,500,0.360625
Jowar,Jagtial,850,30,60,Black,6.7,Medium,61943.0,9492764.75,21680.05,54600,0.840526316
Jowar,Jangaon,800,30,60,Loamy,6.4,Medium,27810.0,4261882.5,9733.5,33101,1.1768
Maize,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,636407.0,97529372.75,222742.45,1756790,3.304333333
Maize,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,165415.0,25349848.75,57895.25,1125685,6.661666667
Moong(Green Gram),Kamareddy,840,30,60,Loamy,6.4,Medium,134700.0,20642775.0,47145.0,82101,0.648666667
Moong(Green Gram),Karimnagar,830,30,60,Black,6.7,Medium,11023.0,1689274.75,3858.05,9955,0.90962963
Onion,Khammam,1000,30,60,Clay,6.5,High,6153.0,942947.25,2153.55,92896,15.68529412
Onion,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,9423.0,1444074.75,3298.05,309477,31.11925926
Potato,Mahabubabad,900,30,60,Clay,6.5,Medium,37.0,5670.25,12.95,405,10.795
Potato,Mahabubnagar,730,32,55,Loamy,6.4,Low,3192.0,489174.0,1117.2,32377,10.56111111
Ragi,Mancherial,890,30,60,Black,6.7,Medium,838.0,128423.5,293.3,971,1.094285714
Ragi,Medak,780,30,60,Black,6.7,Low,296.0,45362.0,103.6,341,1.1075
Rice,Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,889351.0,136293040.8,311272.85,3028634,3.229666667
Rice,Mulugu,1150,28,70,Clay,6.5,High,939223.0,143935924.8,328728.05,3570445,3.585
Safflower,Nagarkurnool,760,30,60,Loamy,6.4,Low,5.0,766.25,1.75,5,1.0
Safflower,Nalgonda,770,32,55,Clay,6.5,Low,4364.0,668783.0,1527.4,2892,0.731111111
Sesamum,Narayanpet,700,32,55,Sandy,6.3,Low,3268.0,500821.0,1143.8,438,0.150555556
Sesamum,Nirmal,910,28,70,Black,6.7,Medium,17626.0,2701184.5,6169.1,14161,0.807272727
Small Millets,Nizamabad,880,30,60,Loamy,6.4,Medium,851.0,130415.75,297.85,799,0.943333333
Small Millets,Peddapalli,820,30,60,Black,6.7,Medium,1.0,153.25,0.35,1,1.0
Soyabean,Rajanna Sircilla,810,30,60,Black,6.7,Medium,276543.0,42380214.75,96790.05,322395,1.270714286
Soyabean,Rangareddy,720,30,60,Sandy,6.3,Low,33.0,5057.25,11.55,32,0.985
Sugarcane,Sangareddy,760,30,60,Black,6.7,Low,29357.0,4498960.25,10274.95,2061312,65.524
Sunflower,Siddipet,790,30,60,Loamy,6.4,Low,951.0,145740.75,332.85,719,0.862
Sunflower,Suryapet,750,30,60,Clay,6.5,Low,4941.0,757208.25,1729.35,8865,1.781428571
Sweet Potato,Vikarabad,800,30,60,Loamy,6.4,Medium,199.0,30496.75,69.65,1672,9.564
Tobacco,Wanaparthy,730,30,60,Loamy,6.4,Low,2599.0,398296.75,909.65,7080,3.134
Tobacco,Warangal,870,30,60,Black,6.7,Medium,4005.0,613766.25,1401.75,11833,3.896923077
Turmeric,Yadadri Bhuvanagiri,760,30,60,Clay,6.5,Low,50566.0,7749239.5,17698.1,305043,5.839166667
Turmeric,Adilabad,920,28,70,Black,6.7,Medium,9.0,1379.25,3.15,54,6.0
Urad,Bhadradri Kothagudem,1100,28,70,Clay,6.5,High,41279.0,6326006.75,14447.65,33776,0.826666667
Urad,Hanumakonda,860,30,60,Black,6.7,Medium,10903.0,1670884.75,3816.05,9010,0.820416667
Wheat,Hyderabad,700,32,55,Sandy,6.3,Low,5409.0,828929.25,1893.15,7413,1.223571429
Arhar/Tur,Jagtial,850,30,60,Black,6.7,Medium,330021.0,51958506.24,125407.98,263513,0.782333333
Arhar/Tur,Jangaon,800,30,60,Loamy,6.4,Medium,338.0,53214.72,128.44,244,0.793636364
Bajra,Jayashankar Bhupalpally,980,30,60,Clay,6.5,High,944.0,148623.36,358.72,998,1.01
Bajra,Jogulamba Gadwal,720,32,55,Loamy,6.4,Low,7818.0,1230865.92,2970.84,8261,0.99
Banana,Kamareddy,840,30,60,Loamy,6.4,Medium,1717.0,270324.48,652.46,110607,64.51083333
Cashewnut,Karimnagar,830,30,60,Black,6.7,Medium,1578.0,248440.32,599.64,478,0.2925
Castor Seed,Khammam,1000,30,60,Clay,6.5,High,27876.0,4388797.44,10592.88,26131,0.93
Castor Seed,Kumuram Bheem Asifabad,950,28,70,Black,6.7,High,294.0,46287.36,111.72,281,0.92375
Coriander,Mahabubabad,900,30,60,Clay,6.5,Medium,16.0,2519.04,6.08,5,0.6
Coriander,Mahabubnagar,730,32,55,Loamy,6.4,Low,1204.0,189557.76,457.52,997,0.85625
Cotton(Lint),Mancherial,890,30,60,Black,6.7,Medium,1896993.0,298662577.9,720857.34,5195470,2.856333333
Cowpea(Lobia),Medak,780,30,60,Black,6.7,Low,1524.0,239938.56,579.12,1545,0.985625
Cowpea(Lobia),Medchal-Malkajgiri,710,30,60,Sandy,6.3,Low,3985.0,627398.4,1514.3,5192,1.31173913
Dry Chillies,Mulugu,1150,28,70,Clay,6.5,High,63117.0,9937140.48,23984.46,278946,3.95862069
Dry Chillies,Nagarkurnool,760,30,60,Loamy,6.4,Low,10660.0,1678310.4,4050.8,61858,5.780625
Garlic,Nalgonda,770,32,55,Clay,6.5,Low,189.0,29756.16,71.82,265,1.391666667
Ginger,Narayanpet,700,32,55,Sandy,6.3,Low,1840.0,289689.6,699.2,12982,5.628
Gram,Nirmal,910,28,70,Black,6.7,Medium,1.0,157.44,0.38,1,1.0
Gram,Nizamabad,880,30,60,Loamy,6.4,Medium,97442.0,15341268.48,37027.96,147772,1.520666667
Groundnut,Peddapalli,820,30,60,Black,6.7,Medium,21006.0,3307184.64,7982.28,45965,2.104
